time,cpu_util
2025-12-30 15:55:00,187
2025-12-30 16:00:00,200
2025-12-30 16:05:00,162
2025-12-30 16:10:00,193
2025-12-30 16:15:00,148
2025-12-30 16:20:00,167
2025-12-30 16:25:00,137
2025-12-30 16:30:00,163
2025-12-30 16:35:00,134
2025-12-30 16:40:00,191
2025-12-30 16:45:00,221
2025-12-30 16:50:00,227
2025-12-30 16:55:00,180
2025-12-30 17:00:00,173
2025-12-30 17:05:00,242
2025-12-30 17:10:00,210
2025-12-30 17:15:00,194
2025-12-30 17:20:00,210
2025-12-30 17:25:00,182
2025-12-30 17:30:00,222
2025-12-30 17:35:00,153
2025-12-30 17:40:00,185
2025-12-30 17:45:00,156
2025-12-30 17:50:00,176
2025-12-30 17:55:00,138
2025-12-30 18:00:00,160
2025-12-30 18:05:00,168
2025-12-30 18:10:00,134
2025-12-30 18:15:00,111
2025-12-30 18:20:00,150
2025-12-30 18:25:00,95.6
2025-12-30 18:30:00,157
2025-12-30 18:35:00,143
2025-12-30 18:40:00,160
2025-12-30 18:45:00,130
2025-12-30 18:50:00,133
2025-12-30 18:55:00,105
2025-12-30 19:00:00,134
2025-12-30 19:05:00,157
2025-12-30 19:10:00,114
2025-12-30 19:15:00,125
2025-12-30 19:20:00,139
2025-12-30 19:25:00,161
2025-12-30 19:30:00,109
2025-12-30 19:35:00,140
2025-12-30 19:40:00,143
2025-12-30 19:45:00,163
2025-12-30 19:50:00,131
2025-12-30 19:55:00,164
2025-12-30 20:00:00,128
2025-12-30 20:05:00,249
2025-12-30 20:10:00,197
2025-12-30 20:15:00,190
2025-12-30 20:20:00,135
2025-12-30 20:25:00,174
2025-12-30 20:30:00,186
2025-12-30 20:35:00,189
2025-12-30 20:40:00,177
2025-12-30 20:45:00,158
2025-12-30 20:50:00,162
2025-12-30 20:55:00,110
2025-12-30 21:00:00,176
2025-12-30 21:05:00,208
2025-12-30 21:10:00,211
2025-12-30 21:15:00,182
2025-12-30 21:20:00,157
2025-12-30 21:25:00,198
2025-12-30 21:30:00,158
2025-12-30 21:35:00,142
2025-12-30 21:40:00,188
2025-12-30 21:45:00,140
