time,cpu_util
2025-12-29 11:10:00,5028
2025-12-29 11:15:00,6984
2025-12-29 11:20:00,6103
2025-12-29 11:25:00,6420
2025-12-29 11:30:00,6711
2025-12-29 11:35:00,7097
2025-12-29 11:40:00,7982
2025-12-29 11:45:00,11919
2025-12-29 11:50:00,10036
2025-12-29 11:55:00,9969
2025-12-29 12:00:00,11373
2025-12-29 12:05:00,3537
2025-12-29 12:10:00,10602
2025-12-29 12:15:00,9585
2025-12-29 12:20:00,7620
2025-12-29 12:25:00,9615
2025-12-29 12:30:00,8339
2025-12-29 12:35:00,12364
2025-12-29 12:40:00,7465
2025-12-29 12:45:00,8899
2025-12-29 12:50:00,8496
2025-12-29 12:55:00,5380
2025-12-29 13:00:00,7403
2025-12-29 13:05:00,7720
2025-12-29 13:10:00,5280
2025-12-29 13:15:00,4589
2025-12-29 13:20:00,5249
2025-12-29 13:25:00,4817
2025-12-29 13:30:00,7040
2025-12-29 13:35:00,6879
2025-12-29 13:40:00,4652
2025-12-29 13:45:00,4371
2025-12-29 13:50:00,6952
2025-12-29 13:55:00,3246
2025-12-29 14:00:00,4425
2025-12-29 14:05:00,4668
2025-12-29 14:10:00,4130
2025-12-29 14:15:00,4442
2025-12-29 14:20:00,4320
2025-12-29 14:25:00,4343
2025-12-29 14:30:00,4267
2025-12-29 14:35:00,4482
2025-12-29 14:40:00,4077
2025-12-29 14:45:00,3967
2025-12-29 14:50:00,3961
2025-12-29 14:55:00,3981
2025-12-29 15:00:00,3881
2025-12-29 15:05:00,5299
2025-12-29 15:10:00,4243
2025-12-29 15:15:00,3497
2025-12-29 15:20:00,4110
2025-12-29 15:25:00,3881
2025-12-29 15:30:00,3680
2025-12-29 15:35:00,3471
2025-12-29 15:40:00,3965
2025-12-29 15:45:00,4166
2025-12-29 15:50:00,4461
2025-12-29 15:55:00,4188
2025-12-29 16:00:00,5136
2025-12-29 16:05:00,3789
2025-12-29 16:10:00,3891
2025-12-29 16:15:00,3396
2025-12-29 16:20:00,4133
2025-12-29 16:25:00,3479
2025-12-29 16:30:00,4253
2025-12-29 16:35:00,4246
2025-12-29 16:40:00,3868
2025-12-29 16:45:00,3345
2025-12-29 16:50:00,4195
2025-12-29 16:55:00,3739
2025-12-29 17:00:00,3835
2025-12-29 17:05:00,4251
2025-12-29 17:10:00,3797
2025-12-29 17:15:00,3743
2025-12-29 17:20:00,4045
2025-12-29 17:25:00,4289
2025-12-29 17:30:00,2956
2025-12-29 17:35:00,2609
2025-12-29 17:40:00,4650
2025-12-29 17:45:00,4844
2025-12-29 17:50:00,5416
2025-12-29 17:55:00,6006
2025-12-29 18:00:00,4893
2025-12-29 18:05:00,5392
2025-12-29 18:10:00,5707
2025-12-29 18:15:00,5806
2025-12-29 18:20:00,6158
2025-12-29 18:25:00,5771
2025-12-29 18:30:00,5429
2025-12-29 18:35:00,5302
2025-12-29 18:40:00,5197
2025-12-29 18:45:00,5577
2025-12-29 18:50:00,5222
2025-12-29 18:55:00,4725
2025-12-29 19:00:00,4623
2025-12-29 19:05:00,5080
2025-12-29 19:10:00,5952
2025-12-29 19:15:00,4450
2025-12-29 19:20:00,6316
2025-12-29 19:25:00,4182
2025-12-29 19:30:00,4457
2025-12-29 19:35:00,5119
2025-12-29 19:40:00,4398
2025-12-29 19:45:00,4330
2025-12-29 19:50:00,5491
2025-12-29 19:55:00,5500
2025-12-29 20:00:00,4960
2025-12-29 20:05:00,5999
2025-12-29 20:10:00,5180
2025-12-29 20:15:00,4885
2025-12-29 20:20:00,5939
2025-12-29 20:25:00,5856
2025-12-29 20:30:00,5310
2025-12-29 20:35:00,4526
2025-12-29 20:40:00,5116
2025-12-29 20:45:00,5389
2025-12-29 20:50:00,4078
2025-12-29 20:55:00,4436
2025-12-29 21:00:00,4108
2025-12-29 21:05:00,4682
2025-12-29 21:10:00,4309
2025-12-29 21:15:00,5723
2025-12-29 21:20:00,4763
2025-12-29 21:25:00,3414
2025-12-29 21:30:00,4006
2025-12-29 21:35:00,5527
2025-12-29 21:40:00,5450
2025-12-29 21:45:00,5380
2025-12-29 21:50:00,5463
2025-12-29 21:55:00,5325
2025-12-29 22:00:00,3781
2025-12-29 22:05:00,3585
2025-12-29 22:10:00,4800
2025-12-29 22:15:00,4097
2025-12-29 22:20:00,5714
2025-12-29 22:25:00,4959
2025-12-29 22:30:00,3982
2025-12-29 22:35:00,5512
2025-12-29 22:40:00,4962
2025-12-29 22:45:00,4650
2025-12-29 22:50:00,4115
2025-12-29 22:55:00,5494
2025-12-29 23:00:00,5160
2025-12-29 23:05:00,4759
2025-12-29 23:10:00,4268
2025-12-29 23:15:00,5131
2025-12-29 23:20:00,4980
2025-12-29 23:25:00,4516
2025-12-29 23:30:00,4475
2025-12-29 23:35:00,4184
2025-12-29 23:40:00,3380
2025-12-29 23:45:00,4100
2025-12-29 23:50:00,4072
2025-12-29 23:55:00,3708
2025-12-30 00:00:00,11889
2025-12-30 00:05:00,6096
2025-12-30 00:10:00,10151
2025-12-30 00:15:00,7971
2025-12-30 00:20:00,6154
2025-12-30 00:25:00,3808
2025-12-30 00:30:00,6558
2025-12-30 00:35:00,6062
2025-12-30 00:40:00,5186
2025-12-30 00:45:00,7748
2025-12-30 00:50:00,5488
2025-12-30 00:55:00,4558
2025-12-30 01:00:00,3208
2025-12-30 01:05:00,4331
2025-12-30 01:10:00,3412
2025-12-30 01:15:00,4124
2025-12-30 01:20:00,4479
2025-12-30 01:25:00,4983
2025-12-30 01:30:00,5020
2025-12-30 01:35:00,4799
2025-12-30 01:40:00,4367
2025-12-30 01:45:00,4070
2025-12-30 01:50:00,3975
2025-12-30 01:55:00,3336
2025-12-30 02:00:00,2330
2025-12-30 02:05:00,1846
2025-12-30 02:10:00,1416
2025-12-30 02:15:00,1632
2025-12-30 02:20:00,1894
2025-12-30 02:25:00,1268
2025-12-30 02:30:00,1545
2025-12-30 02:35:00,1581
2025-12-30 02:40:00,1521
2025-12-30 02:45:00,1309
2025-12-30 02:50:00,1456
2025-12-30 02:55:00,1757
2025-12-30 03:00:00,1738
2025-12-30 03:05:00,1736
2025-12-30 03:10:00,1587
2025-12-30 03:15:00,1301
2025-12-30 03:20:00,939
2025-12-30 03:25:00,823
2025-12-30 03:30:00,1021
2025-12-30 03:35:00,1169
2025-12-30 03:40:00,1010
2025-12-30 03:45:00,1283
2025-12-30 03:50:00,2429
2025-12-30 03:55:00,1154
2025-12-30 04:00:00,1432
2025-12-30 04:05:00,1376
2025-12-30 04:10:00,1197
2025-12-30 04:15:00,1213
2025-12-30 04:20:00,2270
2025-12-30 04:25:00,1836
2025-12-30 04:30:00,2076
2025-12-30 04:35:00,2137
2025-12-30 04:40:00,2767
2025-12-30 04:45:00,2104
2025-12-30 04:50:00,1715
2025-12-30 04:55:00,1343
2025-12-30 05:00:00,1596
2025-12-30 05:05:00,2344
2025-12-30 05:10:00,2819
2025-12-30 05:15:00,4200
2025-12-30 05:20:00,2381
2025-12-30 05:25:00,1990
2025-12-30 05:30:00,2963
2025-12-30 05:35:00,3179
2025-12-30 05:40:00,3198
2025-12-30 05:45:00,4535
2025-12-30 05:50:00,3647
2025-12-30 05:55:00,4895
2025-12-30 06:00:00,4197
2025-12-30 06:05:00,3416
2025-12-30 06:10:00,3508
2025-12-30 06:15:00,4203
2025-12-30 06:20:00,5403
2025-12-30 06:25:00,4458
2025-12-30 06:30:00,4075
2025-12-30 06:35:00,10326
2025-12-30 06:40:00,6918
2025-12-30 06:45:00,6845
2025-12-30 06:50:00,6500
2025-12-30 06:55:00,6754
2025-12-30 07:00:00,11615
2025-12-30 07:05:00,7972
2025-12-30 07:10:00,11277
2025-12-30 07:15:00,11384
2025-12-30 07:20:00,7295
2025-12-30 07:25:00,11052
2025-12-30 07:30:00,13643
2025-12-30 07:35:00,222
2025-12-30 07:40:00,9769
2025-12-30 07:45:00,13175
2025-12-30 07:50:00,13355
2025-12-30 07:55:00,8679
2025-12-30 08:00:00,11388
2025-12-30 08:05:00,11380
2025-12-30 08:10:00,11430
2025-12-30 08:15:00,11314
2025-12-30 08:20:00,11527
