Time,CpuUsedRatio
2026-01-07 19:05:00,1649
2026-01-07 19:10:00,1661
2026-01-07 19:15:00,1702
2026-01-07 19:20:00,1643
2026-01-07 19:25:00,1706
2026-01-07 19:30:00,1707
2026-01-07 19:35:00,1649
2026-01-07 19:40:00,1621
2026-01-07 19:45:00,1592
2026-01-07 19:50:00,1707
2026-01-07 19:55:00,2024
2026-01-07 20:00:00,1903
2026-01-07 20:05:00,1902
2026-01-07 20:10:00,1922
2026-01-07 20:15:00,1834
2026-01-07 20:20:00,1914
2026-01-07 20:25:00,1863
2026-01-07 20:30:00,1826
2026-01-07 20:35:00,1858
2026-01-07 20:40:00,1808
2026-01-07 20:45:00,1812
2026-01-07 20:50:00,1823
2026-01-07 20:55:00,1764
2026-01-07 21:00:00,1864
2026-01-07 21:05:00,1878
2026-01-07 21:10:00,1812
2026-01-07 21:15:00,1763
2026-01-07 21:20:00,1799
2026-01-07 21:25:00,1795
2026-01-07 21:30:00,1802
2026-01-07 21:35:00,1789
2026-01-07 21:40:00,1803
2026-01-07 21:45:00,1841
2026-01-07 21:50:00,1743
2026-01-07 21:55:00,1751
2026-01-07 22:00:00,5982
2026-01-07 22:05:00,1899
2026-01-07 22:10:00,1874
2026-01-07 22:15:00,1808
2026-01-07 22:20:00,1778
2026-01-07 22:25:00,1776
2026-01-07 22:30:00,1821
2026-01-07 22:35:00,1865
2026-01-07 22:40:00,1790
2026-01-07 22:45:00,1700
2026-01-07 22:50:00,1733
2026-01-07 22:55:00,1736
2026-01-07 23:00:00,1659
2026-01-07 23:05:00,1590
2026-01-07 23:10:00,1524
2026-01-07 23:15:00,1617
2026-01-07 23:20:00,1577
2026-01-07 23:25:00,1585
2026-01-07 23:30:00,1564
2026-01-07 23:35:00,1514
2026-01-07 23:40:00,1635
2026-01-07 23:45:00,1640
2026-01-07 23:50:00,1595
2026-01-07 23:55:00,1589
2026-01-08 00:00:00,1677
2026-01-08 00:05:00,1680
2026-01-08 00:10:00,2073
2026-01-08 00:15:00,3534
2026-01-08 00:20:00,13174
2026-01-08 00:25:00,13563
2026-01-08 00:30:00,15938
2026-01-08 00:35:00,5893
