time,cpu,mem
2026-01-07 19:10:00,1706.0,316058
2026-01-07 19:15:00,1707.0,319028
2026-01-07 19:20:00,1649.0,318825
2026-01-07 19:25:00,1621.0,316087
2026-01-07 19:30:00,1592.0,317550
2026-01-07 19:35:00,1707.0,316471
2026-01-07 19:40:00,2024.0,315335
2026-01-07 19:45:00,1903.0,319308
2026-01-07 19:50:00,1902.0,316892
2026-01-07 19:55:00,1922.0,314075
2026-01-07 20:00:00,1834.0,299849
2026-01-07 20:05:00,1914.0,302483
2026-01-07 20:10:00,1863.0,305312
2026-01-07 20:15:00,1826.0,305000
2026-01-07 20:20:00,1858.0,305943
2026-01-07 20:25:00,1808.0,307179
2026-01-07 20:30:00,1812.0,310731
2026-01-07 20:35:00,1823.0,304927
2026-01-07 20:40:00,1764.0,305923
2026-01-07 20:45:00,1864.0,314696
2026-01-07 20:50:00,1878.0,306640
2026-01-07 20:55:00,1812.0,309385
2026-01-07 21:00:00,1763.0,311023
2026-01-07 21:05:00,1799.0,307825
2026-01-07 21:10:00,1795.0,307897
2026-01-07 21:15:00,1802.0,310499
2026-01-07 21:20:00,1789.0,304948
2026-01-07 21:25:00,1803.0,308907
2026-01-07 21:30:00,1841.0,309456
2026-01-07 21:35:00,1743.0,306223
2026-01-07 21:40:00,1751.0,309599
2026-01-07 21:45:00,5982.0,311677
2026-01-07 21:50:00,1899.0,306700
2026-01-07 21:55:00,1874.0,310558
2026-01-07 22:00:00,1808.0,309986
2026-01-07 22:05:00,1778.0,303210
2026-01-07 22:10:00,1776.0,305787
2026-01-07 22:15:00,1821.0,303171
2026-01-07 22:20:00,1865.0,282822
2026-01-07 22:25:00,1790.0,278728
2026-01-07 22:30:00,1700.0,276292
2026-01-07 22:35:00,1733.0,281240
2026-01-07 22:40:00,1736.0,284330
2026-01-07 22:45:00,1659.0,287523
2026-01-07 22:50:00,1590.0,287775
2026-01-07 22:55:00,1524.0,288977
2026-01-07 23:00:00,1617.0,288963
2026-01-07 23:05:00,1577.0,289389
2026-01-07 23:10:00,1585.0,288981
2026-01-07 23:15:00,1564.0,271760
2026-01-07 23:20:00,1514.0,267369
2026-01-07 23:25:00,1635.0,266563
2026-01-07 23:30:00,1640.0,268485
2026-01-07 23:35:00,1595.0,269920
2026-01-07 23:40:00,1589.0,268920
2026-01-07 23:45:00,1677.0,271720
2026-01-07 23:50:00,1680.0,271004
2026-01-07 23:55:00,2073.0,272493
2026-01-08 00:00:00,3534.0,260473
2026-01-08 00:05:00,13174.0,299879
2026-01-08 00:10:00,13563.0,277186
2026-01-08 00:15:00,15938.0,273763
2026-01-08 00:20:00,5893.0,269577
2026-01-08 00:25:00,13065.0,322642
2026-01-08 00:30:00,12125.0,320906
2026-01-08 00:35:00,18648.0,348675
2026-01-08 00:40:00,24198.0,333576
2026-01-08 00:45:00,14214.0,340632
2026-01-08 00:50:00,16341.0,337667
2026-01-08 00:55:00,14672.0,376857
2026-01-08 01:00:00,12712.0,392088
2026-01-08 01:05:00,12879.0,199026
2026-01-08 01:10:00,7623.0,392420
2026-01-08 01:15:00,26006.0,235706
2026-01-08 01:20:00,15492.0,216320
2026-01-08 01:25:00,19225.0,280684
2026-01-08 01:30:00,47535.0,308791
2026-01-08 01:35:00,1544.0,263592
2026-01-08 01:40:00,27407.0,334951
2026-01-08 01:45:00,1924.0,450165
2026-01-08 01:50:00,2870.0,181394
2026-01-08 01:55:00,23007.0,258989
2026-01-08 02:00:00,28073.0,192103
2026-01-08 02:05:00,38638.0,238642
2026-01-08 02:10:00,1570.0,325523
2026-01-08 02:15:00,26860.0,276742
2026-01-08 02:20:00,41372.0,374982
2026-01-08 02:25:00,2933.0,151152
2026-01-08 02:30:00,15908.0,489038
2026-01-08 02:35:00,29850.0,437221
2026-01-08 02:40:00,26388.0,315942
2026-01-08 02:45:00,7049.0,271916
2026-01-08 02:50:00,5802.0,424163
2026-01-08 02:55:00,6085.0,303087
2026-01-08 03:00:00,6741.0,193098
2026-01-08 03:05:00,6204.0,180812
2026-01-08 03:10:00,6406.0,175519
2026-01-08 03:15:00,6330.0,175674
2026-01-08 03:20:00,5803.0,174627
2026-01-08 03:25:00,6689.0,173568
2026-01-08 03:30:00,5619.0,173206
2026-01-08 03:35:00,5299.0,171960
2026-01-08 03:40:00,5703.0,172679
2026-01-08 03:45:00,5864.0,171465
2026-01-08 03:50:00,5864.0,172412
2026-01-08 03:55:00,5985.0,171890
2026-01-08 04:00:00,5434.0,173293
2026-01-08 04:05:00,6503.0,172384
2026-01-08 04:10:00,5635.0,172634
2026-01-08 04:15:00,4874.0,173065
2026-01-08 04:20:00,6604.0,172475
2026-01-08 04:25:00,5866.0,172762
2026-01-08 04:30:00,5620.0,174031
2026-01-08 04:35:00,6318.0,174207
2026-01-08 04:40:00,6482.0,175222
2026-01-08 04:45:00,6442.0,175313
2026-01-08 04:50:00,6295.0,176126
2026-01-08 04:55:00,7183.0,177044
2026-01-08 05:00:00,7727.0,181370
2026-01-08 05:05:00,6260.0,181760
2026-01-08 05:10:00,7472.0,183509
2026-01-08 05:15:00,7208.0,185614
